number,value,datetime_start,datetime_complete,duration,params_ONFIRE_COEFF,params_SUPPRESSED_COEFF,state
0,14523537.896716978,2025-05-30 09:52:05.573835,2025-05-30 10:13:26.554564,0 days 00:21:20.980729,4.708545657959086,754.505546050724,COMPLETE
1,14435804.965699939,2025-05-30 10:13:26.554795,2025-05-30 10:34:51.380985,0 days 00:21:24.826190,8.760479684218522,891.0261514739019,COMPLETE
2,3036850.8979342147,2025-05-30 10:34:51.381212,2025-05-30 10:56:16.025606,0 days 00:21:24.644394,3.743802251043728,240.49131995720634,COMPLETE
3,16212101.167746244,2025-05-30 10:56:16.025838,2025-05-30 11:17:43.188618,0 days 00:21:27.162780,8.377718587381036,855.8688934873137,COMPLETE
4,7215700.980301335,2025-05-30 11:17:43.188826,2025-05-30 11:39:12.432010,0 days 00:21:29.243184,9.169702422610014,702.5013081941196,COMPLETE
5,7263920.063880699,2025-05-30 11:39:12.432216,2025-05-30 12:00:36.588420,0 days 00:21:24.156204,1.5185663110878131,418.76533796098585,COMPLETE
6,5687417.929074484,2025-05-30 12:00:36.588618,2025-05-30 12:22:19.935629,0 days 00:21:43.347011,1.2639571342606688,364.4758112262035,COMPLETE
7,3207793.978161753,2025-05-30 12:22:19.935925,2025-05-30 12:43:56.124928,0 days 00:21:36.189003,3.6393846167746626,314.35706428850085,COMPLETE
8,6448635.228843648,2025-05-30 12:43:56.125145,2025-05-30 13:05:34.348062,0 days 00:21:38.222917,1.8050116817675343,672.1113991050914,COMPLETE
9,6833840.960373438,2025-05-30 13:05:34.348357,2025-05-30 13:27:11.594870,0 days 00:21:37.246513,5.866816752738519,660.4781887658988,COMPLETE
10,-2104262.575078963,2025-05-30 13:27:11.595075,2025-05-30 13:48:49.904702,0 days 00:21:38.309627,7.198340157832062,12.162637279799867,COMPLETE
11,13077753.354809312,2025-05-30 13:48:49.905003,2025-05-30 14:10:38.085544,0 days 00:21:48.180541,6.859250484600694,982.4408574761054,COMPLETE
12,6993148.206296645,2025-05-30 14:10:38.085851,2025-05-30 14:32:19.933104,0 days 00:21:41.847253,4.565898165994448,821.3439204411426,COMPLETE
13,2864638.8434395758,2025-05-30 14:32:19.933351,2025-05-30 14:54:03.642610,0 days 00:21:43.709259,9.996374606872465,553.4795144683903,COMPLETE
14,8996520.86819556,2025-05-30 14:54:03.642907,2025-05-30 15:15:49.208796,0 days 00:21:45.565889,7.363247003619417,812.4758690647602,COMPLETE
15,15325138.066858107,2025-05-30 15:15:49.209082,2025-05-30 15:37:19.652252,0 days 00:21:30.443170,5.693256167949612,985.6685833901145,COMPLETE
16,15314849.745939178,2025-05-30 15:37:19.652465,2025-05-30 15:58:49.782199,0 days 00:21:30.129734,7.967573718931012,941.3485953387801,COMPLETE
17,6808539.412121051,2025-05-30 15:58:49.782409,2025-05-30 16:20:39.397914,0 days 00:21:49.615505,6.186694262780823,539.0036088720171,COMPLETE
18,14207794.564810207,2025-05-30 16:20:39.398139,2025-05-30 16:42:18.841970,0 days 00:21:39.443831,2.7191660779627385,987.23852362221,COMPLETE
19,12921402.096899813,2025-05-30 16:42:18.842193,2025-05-30 17:03:45.831821,0 days 00:21:26.989628,8.213947262492269,873.9411209483244,COMPLETE
